Date & Time,Flow (cfs),Location,Year
12/23/1970,776,"Rio Grande Below Cochiti Dam, NM",1970
12/24/1970,715,"Rio Grande Below Cochiti Dam, NM",1970
12/25/1970,723,"Rio Grande Below Cochiti Dam, NM",1970
12/26/1970,681,"Rio Grande Below Cochiti Dam, NM",1970
12/27/1970,669,"Rio Grande Below Cochiti Dam, NM",1970
12/28/1970,725,"Rio Grande Below Cochiti Dam, NM",1970
12/29/1970,681,"Rio Grande Below Cochiti Dam, NM",1970
12/30/1970,715,"Rio Grande Below Cochiti Dam, NM",1970
12/31/1970,730,"Rio Grande Below Cochiti Dam, NM",1970
1/1/1971,715,"Rio Grande Below Cochiti Dam, NM",1971
1/2/1971,725,"Rio Grande Below Cochiti Dam, NM",1971
1/3/1971,750,"Rio Grande Below Cochiti Dam, NM",1971
1/4/1971,680,"Rio Grande Below Cochiti Dam, NM",1971
1/5/1971,590,"Rio Grande Below Cochiti Dam, NM",1971
1/6/1971,560,"Rio Grande Below Cochiti Dam, NM",1971
1/7/1971,540,"Rio Grande Below Cochiti Dam, NM",1971
1/8/1971,530,"Rio Grande Below Cochiti Dam, NM",1971
1/9/1971,590,"Rio Grande Below Cochiti Dam, NM",1971
1/10/1971,610,"Rio Grande Below Cochiti Dam, NM",1971
1/11/1971,630,"Rio Grande Below Cochiti Dam, NM",1971
1/12/1971,650,"Rio Grande Below Cochiti Dam, NM",1971
1/13/1971,670,"Rio Grande Below Cochiti Dam, NM",1971
1/14/1971,690,"Rio Grande Below Cochiti Dam, NM",1971
1/15/1971,690,"Rio Grande Below Cochiti Dam, NM",1971
1/16/1971,690,"Rio Grande Below Cochiti Dam, NM",1971
1/17/1971,730,"Rio Grande Below Cochiti Dam, NM",1971
1/18/1971,760,"Rio Grande Below Cochiti Dam, NM",1971
1/19/1971,765,"Rio Grande Below Cochiti Dam, NM",1971
1/20/1971,775,"Rio Grande Below Cochiti Dam, NM",1971
1/21/1971,805,"Rio Grande Below Cochiti Dam, NM",1971
1/22/1971,840,"Rio Grande Below Cochiti Dam, NM",1971
1/23/1971,833,"Rio Grande Below Cochiti Dam, NM",1971
1/24/1971,812,"Rio Grande Below Cochiti Dam, NM",1971
1/25/1971,922,"Rio Grande Below Cochiti Dam, NM",1971
1/26/1971,934,"Rio Grande Below Cochiti Dam, NM",1971
1/27/1971,932,"Rio Grande Below Cochiti Dam, NM",1971
1/28/1971,897,"Rio Grande Below Cochiti Dam, NM",1971
1/29/1971,842,"Rio Grande Below Cochiti Dam, NM",1971
1/30/1971,805,"Rio Grande Below Cochiti Dam, NM",1971
1/31/1971,807,"Rio Grande Below Cochiti Dam, NM",1971
2/1/1971,829,"Rio Grande Below Cochiti Dam, NM",1971
2/2/1971,816,"Rio Grande Below Cochiti Dam, NM",1971
2/3/1971,808,"Rio Grande Below Cochiti Dam, NM",1971
2/4/1971,881,"Rio Grande Below Cochiti Dam, NM",1971
2/5/1971,825,"Rio Grande Below Cochiti Dam, NM",1971
2/6/1971,807,"Rio Grande Below Cochiti Dam, NM",1971
2/7/1971,789,"Rio Grande Below Cochiti Dam, NM",1971
2/8/1971,825,"Rio Grande Below Cochiti Dam, NM",1971
2/9/1971,770,"Rio Grande Below Cochiti Dam, NM",1971
2/10/1971,772,"Rio Grande Below Cochiti Dam, NM",1971
2/11/1971,839,"Rio Grande Below Cochiti Dam, NM",1971
2/12/1971,863,"Rio Grande Below Cochiti Dam, NM",1971
2/13/1971,840,"Rio Grande Below Cochiti Dam, NM",1971
2/14/1971,858,"Rio Grande Below Cochiti Dam, NM",1971
2/15/1971,880,"Rio Grande Below Cochiti Dam, NM",1971
2/16/1971,902,"Rio Grande Below Cochiti Dam, NM",1971
2/17/1971,923,"Rio Grande Below Cochiti Dam, NM",1971
2/18/1971,971,"Rio Grande Below Cochiti Dam, NM",1971
2/19/1971,1010,"Rio Grande Below Cochiti Dam, NM",1971
2/20/1971,1020,"Rio Grande Below Cochiti Dam, NM",1971
2/21/1971,947,"Rio Grande Below Cochiti Dam, NM",1971
2/22/1971,880,"Rio Grande Below Cochiti Dam, NM",1971
2/23/1971,665,"Rio Grande Below Cochiti Dam, NM",1971
2/24/1971,689,"Rio Grande Below Cochiti Dam, NM",1971
2/25/1971,823,"Rio Grande Below Cochiti Dam, NM",1971
2/26/1971,861,"Rio Grande Below Cochiti Dam, NM",1971
2/27/1971,880,"Rio Grande Below Cochiti Dam, NM",1971
2/28/1971,832,"Rio Grande Below Cochiti Dam, NM",1971
3/1/1971,706,"Rio Grande Below Cochiti Dam, NM",1971
3/2/1971,698,"Rio Grande Below Cochiti Dam, NM",1971
3/3/1971,665,"Rio Grande Below Cochiti Dam, NM",1971
3/4/1971,673,"Rio Grande Below Cochiti Dam, NM",1971
3/5/1971,732,"Rio Grande Below Cochiti Dam, NM",1971
3/6/1971,832,"Rio Grande Below Cochiti Dam, NM",1971
3/7/1971,823,"Rio Grande Below Cochiti Dam, NM",1971
3/8/1971,795,"Rio Grande Below Cochiti Dam, NM",1971
3/9/1971,776,"Rio Grande Below Cochiti Dam, NM",1971
3/10/1971,814,"Rio Grande Below Cochiti Dam, NM",1971
3/11/1971,880,"Rio Grande Below Cochiti Dam, NM",1971
3/12/1971,921,"Rio Grande Below Cochiti Dam, NM",1971
3/13/1971,894,"Rio Grande Below Cochiti Dam, NM",1971
3/14/1971,903,"Rio Grande Below Cochiti Dam, NM",1971
3/15/1971,871,"Rio Grande Below Cochiti Dam, NM",1971
3/16/1971,823,"Rio Grande Below Cochiti Dam, NM",1971
3/17/1971,810,"Rio Grande Below Cochiti Dam, NM",1971
3/18/1971,740,"Rio Grande Below Cochiti Dam, NM",1971
3/19/1971,686,"Rio Grande Below Cochiti Dam, NM",1971
3/20/1971,841,"Rio Grande Below Cochiti Dam, NM",1971
3/21/1971,1060,"Rio Grande Below Cochiti Dam, NM",1971
3/22/1971,846,"Rio Grande Below Cochiti Dam, NM",1971
3/23/1971,751,"Rio Grande Below Cochiti Dam, NM",1971
3/24/1971,892,"Rio Grande Below Cochiti Dam, NM",1971
3/25/1971,1180,"Rio Grande Below Cochiti Dam, NM",1971
3/26/1971,1250,"Rio Grande Below Cochiti Dam, NM",1971
3/27/1971,1470,"Rio Grande Below Cochiti Dam, NM",1971
3/28/1971,1730,"Rio Grande Below Cochiti Dam, NM",1971
3/29/1971,1940,"Rio Grande Below Cochiti Dam, NM",1971
3/30/1971,2350,"Rio Grande Below Cochiti Dam, NM",1971
3/31/1971,2570,"Rio Grande Below Cochiti Dam, NM",1971
4/1/1971,2550,"Rio Grande Below Cochiti Dam, NM",1971
4/2/1971,2150,"Rio Grande Below Cochiti Dam, NM",1971
4/3/1971,1770,"Rio Grande Below Cochiti Dam, NM",1971
4/4/1971,1450,"Rio Grande Below Cochiti Dam, NM",1971
4/5/1971,1320,"Rio Grande Below Cochiti Dam, NM",1971
4/6/1971,1250,"Rio Grande Below Cochiti Dam, NM",1971
4/7/1971,1310,"Rio Grande Below Cochiti Dam, NM",1971
4/8/1971,1010,"Rio Grande Below Cochiti Dam, NM",1971
4/9/1971,846,"Rio Grande Below Cochiti Dam, NM",1971
4/10/1971,869,"Rio Grande Below Cochiti Dam, NM",1971
4/11/1971,799,"Rio Grande Below Cochiti Dam, NM",1971
4/12/1971,638,"Rio Grande Below Cochiti Dam, NM",1971
4/13/1971,557,"Rio Grande Below Cochiti Dam, NM",1971
4/14/1971,540,"Rio Grande Below Cochiti Dam, NM",1971
4/15/1971,573,"Rio Grande Below Cochiti Dam, NM",1971
4/16/1971,699,"Rio Grande Below Cochiti Dam, NM",1971
4/17/1971,670,"Rio Grande Below Cochiti Dam, NM",1971
4/18/1971,677,"Rio Grande Below Cochiti Dam, NM",1971
4/19/1971,668,"Rio Grande Below Cochiti Dam, NM",1971
4/20/1971,864,"Rio Grande Below Cochiti Dam, NM",1971
4/21/1971,1060,"Rio Grande Below Cochiti Dam, NM",1971
4/22/1971,962,"Rio Grande Below Cochiti Dam, NM",1971
4/23/1971,904,"Rio Grande Below Cochiti Dam, NM",1971
4/24/1971,1080,"Rio Grande Below Cochiti Dam, NM",1971
4/25/1971,989,"Rio Grande Below Cochiti Dam, NM",1971
4/26/1971,918,"Rio Grande Below Cochiti Dam, NM",1971
4/27/1971,1010,"Rio Grande Below Cochiti Dam, NM",1971
4/28/1971,1290,"Rio Grande Below Cochiti Dam, NM",1971
4/29/1971,1150,"Rio Grande Below Cochiti Dam, NM",1971
4/30/1971,1060,"Rio Grande Below Cochiti Dam, NM",1971
5/1/1971,914,"Rio Grande Below Cochiti Dam, NM",1971
5/2/1971,773,"Rio Grande Below Cochiti Dam, NM",1971
5/3/1971,962,"Rio Grande Below Cochiti Dam, NM",1971
5/4/1971,1180,"Rio Grande Below Cochiti Dam, NM",1971
5/5/1971,1220,"Rio Grande Below Cochiti Dam, NM",1971
5/6/1971,1200,"Rio Grande Below Cochiti Dam, NM",1971
5/7/1971,1010,"Rio Grande Below Cochiti Dam, NM",1971
5/8/1971,997,"Rio Grande Below Cochiti Dam, NM",1971
5/9/1971,1060,"Rio Grande Below Cochiti Dam, NM",1971
5/10/1971,1130,"Rio Grande Below Cochiti Dam, NM",1971
5/11/1971,923,"Rio Grande Below Cochiti Dam, NM",1971
5/12/1971,883,"Rio Grande Below Cochiti Dam, NM",1971
5/13/1971,928,"Rio Grande Below Cochiti Dam, NM",1971
5/14/1971,916,"Rio Grande Below Cochiti Dam, NM",1971
5/15/1971,904,"Rio Grande Below Cochiti Dam, NM",1971
5/16/1971,924,"Rio Grande Below Cochiti Dam, NM",1971
5/17/1971,852,"Rio Grande Below Cochiti Dam, NM",1971
5/18/1971,833,"Rio Grande Below Cochiti Dam, NM",1971
5/19/1971,887,"Rio Grande Below Cochiti Dam, NM",1971
5/20/1971,810,"Rio Grande Below Cochiti Dam, NM",1971
5/21/1971,681,"Rio Grande Below Cochiti Dam, NM",1971
5/22/1971,610,"Rio Grande Below Cochiti Dam, NM",1971
5/23/1971,685,"Rio Grande Below Cochiti Dam, NM",1971
5/24/1971,653,"Rio Grande Below Cochiti Dam, NM",1971
5/25/1971,567,"Rio Grande Below Cochiti Dam, NM",1971
5/26/1971,562,"Rio Grande Below Cochiti Dam, NM",1971
5/27/1971,477,"Rio Grande Below Cochiti Dam, NM",1971
5/28/1971,542,"Rio Grande Below Cochiti Dam, NM",1971
5/29/1971,541,"Rio Grande Below Cochiti Dam, NM",1971
5/30/1971,562,"Rio Grande Below Cochiti Dam, NM",1971
5/31/1971,575,"Rio Grande Below Cochiti Dam, NM",1971
6/1/1971,525,"Rio Grande Below Cochiti Dam, NM",1971
6/2/1971,593,"Rio Grande Below Cochiti Dam, NM",1971
6/3/1971,589,"Rio Grande Below Cochiti Dam, NM",1971
6/4/1971,436,"Rio Grande Below Cochiti Dam, NM",1971
6/5/1971,407,"Rio Grande Below Cochiti Dam, NM",1971
6/6/1971,502,"Rio Grande Below Cochiti Dam, NM",1971
6/7/1971,467,"Rio Grande Below Cochiti Dam, NM",1971
6/8/1971,354,"Rio Grande Below Cochiti Dam, NM",1971
6/9/1971,349,"Rio Grande Below Cochiti Dam, NM",1971
6/10/1971,356,"Rio Grande Below Cochiti Dam, NM",1971
6/11/1971,361,"Rio Grande Below Cochiti Dam, NM",1971
6/12/1971,458,"Rio Grande Below Cochiti Dam, NM",1971
6/13/1971,387,"Rio Grande Below Cochiti Dam, NM",1971
6/14/1971,396,"Rio Grande Below Cochiti Dam, NM",1971
6/15/1971,417,"Rio Grande Below Cochiti Dam, NM",1971
6/16/1971,842,"Rio Grande Below Cochiti Dam, NM",1971
6/17/1971,784,"Rio Grande Below Cochiti Dam, NM",1971
6/18/1971,765,"Rio Grande Below Cochiti Dam, NM",1971
6/19/1971,798,"Rio Grande Below Cochiti Dam, NM",1971
6/20/1971,769,"Rio Grande Below Cochiti Dam, NM",1971
6/21/1971,392,"Rio Grande Below Cochiti Dam, NM",1971
6/22/1971,280,"Rio Grande Below Cochiti Dam, NM",1971
6/23/1971,282,"Rio Grande Below Cochiti Dam, NM",1971
6/24/1971,267,"Rio Grande Below Cochiti Dam, NM",1971
6/25/1971,229,"Rio Grande Below Cochiti Dam, NM",1971
6/26/1971,214,"Rio Grande Below Cochiti Dam, NM",1971
6/27/1971,233,"Rio Grande Below Cochiti Dam, NM",1971
6/28/1971,190,"Rio Grande Below Cochiti Dam, NM",1971
6/29/1971,157,"Rio Grande Below Cochiti Dam, NM",1971
6/30/1971,148,"Rio Grande Below Cochiti Dam, NM",1971
7/1/1971,570,"Rio Grande Below Cochiti Dam, NM",1971
7/2/1971,1420,"Rio Grande Below Cochiti Dam, NM",1971
7/3/1971,875,"Rio Grande Below Cochiti Dam, NM",1971
7/4/1971,885,"Rio Grande Below Cochiti Dam, NM",1971
7/5/1971,658,"Rio Grande Below Cochiti Dam, NM",1971
7/6/1971,453,"Rio Grande Below Cochiti Dam, NM",1971
7/7/1971,372,"Rio Grande Below Cochiti Dam, NM",1971
7/8/1971,361,"Rio Grande Below Cochiti Dam, NM",1971
7/9/1971,373,"Rio Grande Below Cochiti Dam, NM",1971
7/10/1971,408,"Rio Grande Below Cochiti Dam, NM",1971
