Date & Time,Flow (cfs),Location,Year,,,
4/9/1927,3820,"Rio Grande at San Felipe, NM",1927,,,
4/10/1927,3140,"Rio Grande at San Felipe, NM",1927,,,
4/11/1927,3140,"Rio Grande at San Felipe, NM",1927,,,
4/12/1927,3090,"Rio Grande at San Felipe, NM",1927,,,
4/13/1927,2650,"Rio Grande at San Felipe, NM",1927,,,
4/14/1927,2430,"Rio Grande at San Felipe, NM",1927,,,
4/15/1927,2120,"Rio Grande at San Felipe, NM",1927,,,
4/16/1927,1820,"Rio Grande at San Felipe, NM",1927,,,
4/17/1927,1740,"Rio Grande at San Felipe, NM",1927,,,
4/18/1927,1710,"Rio Grande at San Felipe, NM",1927,,,
4/19/1927,1760,"Rio Grande at San Felipe, NM",1927,,,
4/20/1927,1760,"Rio Grande at San Felipe, NM",1927,,,
4/21/1927,1900,"Rio Grande at San Felipe, NM",1927,,,
4/22/1927,1990,"Rio Grande at San Felipe, NM",1927,,,
4/23/1927,2480,"Rio Grande at San Felipe, NM",1927,,,
4/24/1927,3200,"Rio Grande at San Felipe, NM",1927,,,
4/25/1927,4430,"Rio Grande at San Felipe, NM",1927,,,
4/26/1927,5070,"Rio Grande at San Felipe, NM",1927,,,
4/27/1927,5730,"Rio Grande at San Felipe, NM",1927,,,
4/28/1927,5560,"Rio Grande at San Felipe, NM",1927,,,
4/29/1927,5380,"Rio Grande at San Felipe, NM",1927,,,
4/30/1927,6450,"Rio Grande at San Felipe, NM",1927,,,
5/1/1927,7280,"Rio Grande at San Felipe, NM",1927,,,
5/2/1927,8030,"Rio Grande at San Felipe, NM",1927,,,
5/3/1927,8610,"Rio Grande at San Felipe, NM",1927,,,
5/4/1927,9380,"Rio Grande at San Felipe, NM",1927,,,
5/5/1927,9940,"Rio Grande at San Felipe, NM",1927,,,
5/6/1927,10400,"Rio Grande at San Felipe, NM",1927,,,
5/7/1927,9680,"Rio Grande at San Felipe, NM",1927,,,
5/8/1927,9540,"Rio Grande at San Felipe, NM",1927,,,
5/9/1927,8290,"Rio Grande at San Felipe, NM",1927,,,
5/10/1927,6820,"Rio Grande at San Felipe, NM",1927,,,
5/11/1927,5620,"Rio Grande at San Felipe, NM",1927,,,
5/12/1927,4980,"Rio Grande at San Felipe, NM",1927,,,
5/13/1927,4580,"Rio Grande at San Felipe, NM",1927,,,
5/14/1927,5130,"Rio Grande at San Felipe, NM",1927,,,
5/15/1927,6110,"Rio Grande at San Felipe, NM",1927,,,
5/16/1927,7260,"Rio Grande at San Felipe, NM",1927,,,
5/17/1927,8340,"Rio Grande at San Felipe, NM",1927,,,
5/18/1927,9260,"Rio Grande at San Felipe, NM",1927,,,
5/19/1927,9660,"Rio Grande at San Felipe, NM",1927,,,
5/20/1927,9880,"Rio Grande at San Felipe, NM",1927,,,
5/21/1927,9410,"Rio Grande at San Felipe, NM",1927,,,
5/22/1927,9180,"Rio Grande at San Felipe, NM",1927,,,
5/23/1927,8340,"Rio Grande at San Felipe, NM",1927,,,
5/24/1927,7330,"Rio Grande at San Felipe, NM",1927,,,
5/25/1927,6310,"Rio Grande at San Felipe, NM",1927,,,
5/26/1927,6060,"Rio Grande at San Felipe, NM",1927,,,
5/27/1927,5800,"Rio Grande at San Felipe, NM",1927,,,
5/28/1927,5710,"Rio Grande at San Felipe, NM",1927,,,
5/29/1927,5300,"Rio Grande at San Felipe, NM",1927,,,
5/30/1927,5020,"Rio Grande at San Felipe, NM",1927,,,
5/31/1927,4580,"Rio Grande at San Felipe, NM",1927,,,
6/1/1927,4340,"Rio Grande at San Felipe, NM",1927,,,
6/2/1927,3750,"Rio Grande at San Felipe, NM",1927,,,
6/3/1927,3490,"Rio Grande at San Felipe, NM",1927,,,
6/4/1927,3330,"Rio Grande at San Felipe, NM",1927,,,
6/5/1927,3290,"Rio Grande at San Felipe, NM",1927,,,
6/6/1927,3160,"Rio Grande at San Felipe, NM",1927,,,
6/7/1927,3070,"Rio Grande at San Felipe, NM",1927,,,
6/8/1927,3020,"Rio Grande at San Felipe, NM",1927,,,
6/9/1927,3120,"Rio Grande at San Felipe, NM",1927,,,
6/10/1927,3160,"Rio Grande at San Felipe, NM",1927,,,
6/11/1927,4380,"Rio Grande at San Felipe, NM",1927,,,
6/12/1927,4540,"Rio Grande at San Felipe, NM",1927,,,
6/13/1927,4690,"Rio Grande at San Felipe, NM",1927,,,
6/14/1927,4840,"Rio Grande at San Felipe, NM",1927,,,
6/15/1927,5000,"Rio Grande at San Felipe, NM",1927,,,
6/16/1927,5160,"Rio Grande at San Felipe, NM",1927,,,
6/17/1927,5310,"Rio Grande at San Felipe, NM",1927,,,
6/18/1927,5470,"Rio Grande at San Felipe, NM",1927,,,
6/19/1927,5420,"Rio Grande at San Felipe, NM",1927,,,
6/20/1927,5300,"Rio Grande at San Felipe, NM",1927,,,
6/21/1927,5000,"Rio Grande at San Felipe, NM",1927,,,
6/22/1927,4940,"Rio Grande at San Felipe, NM",1927,,,
6/23/1927,4620,"Rio Grande at San Felipe, NM",1927,,,
6/24/1927,4480,"Rio Grande at San Felipe, NM",1927,,,
6/25/1927,4340,"Rio Grande at San Felipe, NM",1927,,,
6/26/1927,4300,"Rio Grande at San Felipe, NM",1927,,,
6/27/1927,3600,"Rio Grande at San Felipe, NM",1927,,,
6/28/1927,3380,"Rio Grande at San Felipe, NM",1927,,,
6/29/1927,3470,"Rio Grande at San Felipe, NM",1927,,,
6/30/1927,4460,"Rio Grande at San Felipe, NM",1927,,,
7/1/1927,6800,"Rio Grande at San Felipe, NM",1927,,,
7/2/1927,8070,"Rio Grande at San Felipe, NM",1927,,,
7/3/1927,9760,"Rio Grande at San Felipe, NM",1927,,,
7/4/1927,11500,"Rio Grande at San Felipe, NM",1927,,,
7/5/1927,8940,"Rio Grande at San Felipe, NM",1927,,,
7/6/1927,7110,"Rio Grande at San Felipe, NM",1927,,,
7/7/1927,5730,"Rio Grande at San Felipe, NM",1927,,,
7/8/1927,5070,"Rio Grande at San Felipe, NM",1927,,,
7/9/1927,4750,"Rio Grande at San Felipe, NM",1927,,,
7/10/1927,4910,"Rio Grande at San Felipe, NM",1927,,,
7/11/1927,4000,"Rio Grande at San Felipe, NM",1927,,,
7/12/1927,3000,"Rio Grande at San Felipe, NM",1927,,,
7/13/1927,2200,"Rio Grande at San Felipe, NM",1927,,,
7/14/1927,1900,"Rio Grande at San Felipe, NM",1927,,,
7/15/1927,1880,"Rio Grande at San Felipe, NM",1927,,,
7/16/1927,1840,"Rio Grande at San Felipe, NM",1927,,,
7/17/1927,1860,"Rio Grande at San Felipe, NM",1927,,,
7/18/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
7/19/1927,1230,"Rio Grande at San Felipe, NM",1927,,,
7/20/1927,1020,"Rio Grande at San Felipe, NM",1927,,,
7/21/1927,915,"Rio Grande at San Felipe, NM",1927,,,
7/22/1927,915,"Rio Grande at San Felipe, NM",1927,,,
7/23/1927,1060,"Rio Grande at San Felipe, NM",1927,,,
7/24/1927,814,"Rio Grande at San Felipe, NM",1927,,,
7/25/1927,2140,"Rio Grande at San Felipe, NM",1927,,,
7/26/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
7/27/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
7/28/1927,1600,"Rio Grande at San Felipe, NM",1927,,,
7/29/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
7/30/1927,1100,"Rio Grande at San Felipe, NM",1927,,,
7/31/1927,900,"Rio Grande at San Felipe, NM",1927,,,
8/1/1927,700,"Rio Grande at San Felipe, NM",1927,,,
8/2/1927,650,"Rio Grande at San Felipe, NM",1927,,,
8/3/1927,650,"Rio Grande at San Felipe, NM",1927,,,
8/4/1927,650,"Rio Grande at San Felipe, NM",1927,,,
8/5/1927,850,"Rio Grande at San Felipe, NM",1927,,,
8/6/1927,889,"Rio Grande at San Felipe, NM",1927,,,
8/7/1927,814,"Rio Grande at San Felipe, NM",1927,,,
8/8/1927,778,"Rio Grande at San Felipe, NM",1927,,,
8/9/1927,1170,"Rio Grande at San Felipe, NM",1927,,,
8/10/1927,1580,"Rio Grande at San Felipe, NM",1927,,,
8/11/1927,1330,"Rio Grande at San Felipe, NM",1927,,,
8/12/1927,1010,"Rio Grande at San Felipe, NM",1927,,,
8/13/1927,814,"Rio Grande at San Felipe, NM",1927,,,
8/14/1927,686,"Rio Grande at San Felipe, NM",1927,,,
8/15/1927,708,"Rio Grande at San Felipe, NM",1927,,,
8/16/1927,778,"Rio Grande at San Felipe, NM",1927,,,
8/17/1927,675,"Rio Grande at San Felipe, NM",1927,,,
8/18/1927,675,"Rio Grande at San Felipe, NM",1927,,,
8/19/1927,778,"Rio Grande at San Felipe, NM",1927,,,
8/20/1927,850,"Rio Grande at San Felipe, NM",1927,,,
8/21/1927,1120,"Rio Grande at San Felipe, NM",1927,,,
8/22/1927,902,"Rio Grande at San Felipe, NM",1927,,,
8/23/1927,2080,"Rio Grande at San Felipe, NM",1927,,,
8/24/1927,1400,"Rio Grande at San Felipe, NM",1927,,,
8/25/1927,1100,"Rio Grande at San Felipe, NM",1927,,,
8/26/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
8/27/1927,1050,"Rio Grande at San Felipe, NM",1927,,,
8/28/1927,967,"Rio Grande at San Felipe, NM",1927,,,
8/29/1927,995,"Rio Grande at San Felipe, NM",1927,,,
8/30/1927,955,"Rio Grande at San Felipe, NM",1927,,,
8/31/1927,995,"Rio Grande at San Felipe, NM",1927,,,
